bo,title,genres,budjet,year,rating,peoplesID,mid,date
904998,Flickan som lekte med elden,"Crime,Drama,Mystery,Thriller",5217600,2009,45190|7|0000013200,9499|40142|41242|44972|46924|50898|53332|55243|61500|69603|74853|77497|88865|88866|93885|96460|98184|105130|105437|106170|110244|123614|126968|128756|138954|142523|150533|151061|155928|161053|167244|168659|5140|174435|186820|190157|193606|195196|203785|205645|219472|225521|16150|16238|16822|18167|21236|21285|22482|26407|28278|30058|35516|35692|37069|10076|2331,6627,2010/7/11
4841,Followers,Drama,50000,2000,40|7.7|100.000213,|11461|61650|62141|62520|67557|69955|73622|76736|11461|80467|80996|81019|82137|82536|82537|84627|88290|93942|95733|98340|107633|108825|111805|115213|2303|29544|122420|123919|125200|132467|135696|139239|143617|150990|153385|157036|157080|160136|162672|165383|5695|180202|186140|189217|189247|216861|218710|11461|22537|22922|29544|11461|2303,2544,2000/10/15
19845,Arguing the World,Documentary,0,1998,64|6.1|0.00012102,|11208|52163|85513|95336|105532|140459|5154||11208|26684|33908|11208|340|420|584|789|1000|1740|1744|2958,1378,1998/1/11
1378,"Love, Wedding, Marriage",Comedy,1200000,2011,4816|4.7|0001210000,9005|39422|39559|45905|15570|17510|58024|64467|72234|76190|80231|87929|89345|99322|25765|108199|110752|112247|117000|136676|137190|147135|148570|149111|154507|156070|156500|157055|159493|163217|163323|6281|168892|169734|173757|174107|18028|178009|180640|187756|193896|200960|203740|204815|211707|32568|34048|225359|228431|228597|228853|229523|231057|232909|15017|15570|16708|16896|17933|18743|18744|19624|22993|23840|23904|24971|28346|30802|32111|13204|1337,7158,2011/6/5
28024,Dong gong xi gong,Drama,0,1996,622|6.3|0000112100,|43873|14969|90160|95493|166870|7494|236725|25420|30033|36389|14969|14969|3818,833,1998/9/13
8412,The Girl Next Door,"Adult,Documentary",0,1999,517|6.2|0000012101,|40034|40134|70698|82904|90120|97007|5|110222|119594|119819|165794|5201|171016|194394|194410|198033|211103|228770|229681|231725|5|16666|16667|11532|26264|28877|35193|11532|,1965,2000/4/16
24717037,Taken,"Adult,Action,Crime,Thriller,Comedy,Short",25000000,2008,293243|7.9|0000001321,7871|7912|10391|40945|12925|14247|44165|46610|49597|16616|55107|59022|59728|71446|79815|80312|80493|82000|85348|23166|93041|98147|100803|101366|105031|105123|105620|115771|124302|125034|128594|135513|138556|34595|150130|154337|157273|161677|162079|162237|4265|6257|178620|179063|188942|191657|192046|197229|12181|198117|201650|219116|219458|219847|221669|226878|231671|235332|15309|10391|24318|27067|28247|14247|12925|2359|14247|8|1512|3745,5909,2009/2/1
7480,Comment j'ai tu? mon p?re,"Drama,Thriller",5773523,2001,748|6.7|0000012200,8618|40018|11471|53111|53125|55683|56186|70968|88601|104586|105114|108768|108936|111077|111539|6527|178536|187241|189877|208326|210497|221195|222469|18126|11471|1016,2713,2002/8/25
14870,The Perfect Host,"Comedy,Crime,Thriller",0,2010,13045|6.6|0000013100,8506|40918|14512|44299|45933|46008|50577|58170|64008|68167|76240|81401|96360|114280|116628|130176|137254|145815|156437|160051|160984|164234|166819|7110|170108|176081|177743|178699|181412|183594|194170|194984|197736|204636|213247|216572|217064|219738|229784|230603|231774|232463|233012|233900|235073|21257|25274|35948|36812|38470|14512|388,6961,2011/7/10
9750,Amy's Orgasm,"Comedy,Romance",500000,2001,1385|5.3|0000111000,8029|11060|16980|58251|62335|39331|64208|64838|65908|76423|90969|91311|106013|113677|125410|126448|127199|131426|133564|138440|149010|163766|4567|15005|173316|175445|175757|181673|11060|183653|190707|197147|204819|213373|214238|219785|222061|230788|231887|233022|235234|37940|16980|17452|11060|26435|26461|28252|29533|31966|35449|37638|37940|11060|2265,2841,2002/8/25
